elapsed_ms,t_elapsed_s,accel_mag_g
19145,19.145,0.00311681
19164,19.164,0.00311595
19182,19.182,0.00311513
19200,19.2,0.00311431
19218,19.218,0.0031135
19236,19.236,0.00311268
19255,19.255,0.00311182
19273,19.273,0.003111
19291,19.291,0.00311019
19309,19.309,0.00310937
19327,19.327,0.00310856
19345,19.345,0.00310774
19364,19.364,0.00310688
19382,19.382,0.00310606
19400,19.4,0.00310525
19418,19.418,0.00310443
19436,19.436,0.00310362
19455,19.455,0.00310275
19473,19.473,0.00310194
19491,19.491,0.00310112
19509,19.509,0.00310031
19527,19.527,0.00309949
19545,19.545,0.00309868
19564,19.564,0.00309782
